Año,N°,Materia,Día,Observaciones,Link
1º,,Algoritmos y Estructuras de Datos,2-Martes,,
1º,,Arquitectura de Computadoras,5-Viernes,,
1º,,Matemática Discreta,1-Lunes,,
1º,,Sistemas y Organizaciones,5-Viernes,,
2º,,Análisis de Sistemas,4-Jueves,,
2º,,Paradigmas de Programación,3-Miércoles,,
2º,,Sintaxis y Semántica de los Lenguajes,3-Miércoles,,
2º,,Sistemas de Representación,4-Jueves,,
2º,,Sistemas Operativos,3-Miércoles,,
3º,,Administración de Proyectos (Elec.),2-Martes,,
3º,,Base de Datos Avanzada(Elec.),1-Lunes,,
3º,,Comunicaciones,4-Jueves,,
3º,,Diseño de Sistemas,4-Jueves,,
3º,,Gestión de Datos,1-Lunes,,
3º,,Matemática Superior,3-Miércoles,,
3º,,Modelado de procesos de Negocios(Elec.),4-Jueves,,
4º,,Administración de Recursos,4-Jueves,,
4º,,Computación Paralela(Elec.),2-Martes,,
4º,,Habilitación Profesional,1-Lunes,,
4º,,Informática Forense(Elec.),2-Martes,,
4º,,Informática Industrial(Elec.),1-Lunes,,
4º,,Ingeniería de Software,1-Lunes,,
4º,,Investigación Operativa,1-Lunes,,
4º,,Programación Avanzada(Elec.),1-Lunes,,
4º,,Redes de Información,1-Lunes,,
4º,,Simulación,2-Martes,,
4º,,Sistemas de Gestión,3-Miércoles,,
4º,,Teoría de Control,3-Miércoles,,
5º,,Administración de Sistemas Operativos de Red(Elec.),3-Miércoles,,
5º,,Administración Gerencial,3-Miércoles,,
5º,,Aseguramiento de la Calidad del Software(Elec.),1-Lunes,,
5º,,Comportamiento Organizacional(Elec.),3-Miércoles,,
5º,,Desarrollo de Software dirigido por Modelos(Elec.),4-Jueves,,
5º,,Gobierno Electrónico(Elec.),4-Jueves,,
5º,,Inteligencia Artificial,1-Lunes,,
5º,,Nuevas Tecnologías de Redes(Elec.),4-Jueves,,
5º,,Organización Industrial y Empresarial(Elec.),2-Martes,,
5º,,Proyecto Final,1-Lunes,,
5º,,Seguridad en Redes(Elec.),4-Jueves,,
5º,,Sistemas de Gestión II,3-Miércoles,,
5º,,Sistemas de Transmisión de Datos(Elec.),1-Lunes,,
5º,,Taller de Informática Forense(Elec.),4-Jueves,,
5º,,Taller de Programación Avanzada(Elec.),4-Jueves,,
Sin año,,Aprendizaje de Máquinas(Elec.),2-Martes,,
Sin año,,Modelos Probabilísticos Gráficos(Elec.),2-Martes,,
Sin año,,Práctica Supervisada,1-Lunes,,
